Provinsi,Luas Daerah,Penduduk,,,,,Pendapatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jumlah Penduduk 2020,Jumlah Penduduk 2021,Jumlah Penduduk 2022,Jumlah Penduduk 2023,Jumlah Penduduk 2024,Februari 2020,,,rata-rata,Agustus 2020,,,rata-rata,2020,,,Jumlah,Februari 2021,,,rata-rata,Agustus 2021,,,rata-rata,2021,,,Jumlah,Februari 2022,,,rata-rata,Agustus 2022,,,rata-rata,2022,,,Jumlah,Februari 2023,,,rata-rata,Agustus 2023,,,rata-rata,2023,,,Jumlah,Februari 2024,,,rata-rata,Agustus 2024,,,rata-rata,2024,,,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,,Kelompok Umur,,,,Kelompok Umur,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceh,56834.75,5275000,5334000,5408000,5483000,5555000,1626300,1821800,1619400,1689200,1378400,1744700,1339600,1487600,1502400,1783300,1479500,1588400,1547100,1590400,1315200,1484200,1185500,1577400,1266700,1343200,1366300,1583900,1291000,1413700,1154400,1711100,1352800,1406100,1401500,1889100,1485500,1592000,1800100,1419200,1499100,1496800,1277200,1787300,1395200,1486600,1588400,1964200,1580700,1711100,1432800,1875800,1488000,1598800,2131600,1783700,1535500,1816900,1565800,2233700,1652100,1817200,1848700,2008700,1593800,1817100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,72460.74,14799000,14936000,15115000,15387000,15589000,1296300,1707300,1399300,1467600,1260400,1706300,1359200,1442000,1278400,1706800,1379300,1454800,1168500,1604400,1336500,1369800,1083300,1615300,1202500,1300400,1125900,1609900,1269500,1335100,1208200,1778200,1335600,1440700,1382300,1957100,1485900,1608400,1867700,1410800,1524600,1495400,1571700,1789100,1217200,1526000,1409200,2009900,1541000,1653400,1490500,1899500,1379100,1589700,1537100,1672900,1520300,1576800,1615700,2115300,1607500,1779500,1576400,1894100,1563900,1678100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,42119.54,5535000,5580000,5641000,5757000,5836000,1366400,1991900,1399200,1585800,1266000,1699600,1176900,1380800,1316200,1845800,1288100,1483300,1009800,1777200,1394800,1393900,1092200,1587800,1111800,1263900,1051000,1682500,1253300,1328900,1515400,1843900,1153500,1504300,1410600,1828900,1376000,1538500,1836400,1264800,1521400,1474600,1307800,1834400,1308500,1483600,1479500,1969100,1461500,1636700,1393700,1901800,1385000,1560100,1395200,1667900,1405700,1489600,1583900,2006200,1484900,1691700,1489600,1837100,1445300,1590600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riau,89935.9,6394000,6494000,6614000,6643000,6728000,1456000,2121400,1491300,1689600,1442700,2072000,1741000,1751900,1449400,2096700,1616200,1720700,1084600,1694600,1294300,1357800,1335400,1918500,1661600,1638500,1210000,1806600,1478000,1498200,1563000,2037100,1958900,1853000,1788000,2303800,1761300,1951000,2170500,1860100,1902000,1869500,1389000,2117100,1361100,1622400,1937100,2363200,2086000,2128800,1663100,2240200,1723600,1875600,1648600,2424200,1949300,2007400,1836100,2541900,2177400,2185100,1742400,2483100,2063400,2096300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jambi,49026.58,3548000,3585000,3631000,3679000,3724000,2183900,2207200,1632300,2007800,1305700,1826200,1382400,1504800,1744800,2016700,1507400,1756300,1712100,2110100,1602100,1808100,1410400,1871200,1457600,1579700,1561300,1990700,1529900,1693900,1284800,2011900,1661400,1652700,1592500,2405700,1825300,1941200,2208800,1743400,1796900,1766800,1334200,2175600,1673300,1727700,1747700,2449600,1784600,1994000,1541000,2312600,1729000,1860800,1826900,2478700,1991600,2099100,2215200,2616400,2170900,2334200,2021100,2547600,2081300,2216600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Selatan,86771.68,8467000,8551000,8657000,8744000,8837000,1188700,1779700,1311300,1426600,1118500,1497200,1273700,1296500,1153600,1638500,1292500,1361500,1242400,1612400,1261400,1372100,1191100,1476600,1243700,1303800,1216800,1544500,1252600,1337900,1287600,1912800,1479900,1560100,1465800,2098700,1609800,1724800,2005800,1544900,1642400,1595300,1089000,1804600,1342300,1412000,1661700,2087200,1606100,1785000,1375400,1945900,1474200,1598500,1272200,1909800,1793500,1658500,1783500,2428600,1852500,2021500,1527900,2169200,1823000,1840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengkulu,20128.34,2011000,2033000,2060000,2086000,2112000,1057500,1756200,1259100,1357600,1606000,1607000,1311200,1508100,1331800,1681600,1285200,1432800,814600,1589200,1481800,1295200,1337300,1472500,1253600,1354500,1076000,1530900,1367700,1324800,1294000,1908900,2401200,1868000,1569500,1835500,1394900,1600000,1872200,1898100,1734000,1584700,1244200,1554800,1414300,1404400,1281900,1951400,1467400,1566900,1263100,1753100,1440900,1485700,968800,2247400,1660800,1625700,1841100,2178400,1790000,1936500,1405000,2212900,1725400,1781100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampung,33570.26,9008000,9082000,9177000,9314000,9420000,1358000,1525800,1203800,1362500,1247000,1526700,1263800,1345800,1302500,1526300,1233800,1354200,758100,1337400,1451700,1182400,1086300,1371300,1171100,1209600,922200,1354400,1311400,1196000,1120300,1624200,1303400,1349300,1367800,1841000,1392700,1533800,1732600,1348100,1441600,1450800,995900,1633900,1308100,1312600,1350400,1783700,1338200,1490800,1173200,1708800,1323200,1401700,1946500,1947100,1432500,1775400,1640400,1983100,1448700,1690700,1793500,1965100,1440600,1733100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
