Provinsi,Luas Daerah,Jumlah Penduduk 2020,Jumlah Penduduk 2021,Jumlah Penduduk 2022,Jumlah Penduduk 2023
Aceh,57956,5275000,5334000,5408000,5483000
Sumatera Utara,72981.23,14799000,14936000,15115000,15387000
Sumatera Barat,42012.89,5535000,5580000,5641000,5757000
Riau,87023.66,6394000,6494000,6614000,6643000
Jambi,50058.16,3548000,3585000,3631000,3679000
Sumatera Selatan,91592.43,8467000,8551000,8657000,8744000
Bengkulu,19919.33,2011000,2033000,2060000,2086000
Lampung,34623.8,9008000,9082000,9177000,9314000
Kepulauan Bangka Belitung,16424.06,1456000,1473000,1495000,1512000
Kepulauan Riau,8201.72,2065000,2118000,2180000,2153000
DKI Jakarta,664.01,10562000,10610000,10680000,10672000
Jawa Barat,35377.76,48274000,48782000,49406000,49860000
Jawa Tengah,32800.69,36516000,36743000,37032000,37541000
DI Yogyakarta,3133.15,3669000,3713000,3762000,3737000
Jawa Timur,47803.49,40666000,40879000,41150000,41528000
Banten,9662.92,11905000,12062000,12252000,12308000
Bali,5780.06,4317000,4363000,4415000,4404000
Nusa Tenggara Barat,18572.32,5320000,5390000,5474000,5560000
Nusa Tenggara Timur,48718.1,5326000,5388000,5466000,5569000
Kalimantan Barat,147307,5414000,5471000,5541000,5623000
Kalimantan Tengah,153564.5,2670000,2702000,2741000,2774000
Kalimantan Selatan,38744.23,4074000,4123000,4182000,4222000
Kalimantan Timur,129066.64,3766000,3808000,3860000,3910000
Kalimantan Utara,75467.7,702000,714000,728000,730000
Sulawesi Utara,13892.47,2622000,2639000,2660000,2682000
Sulawesi Tengah,61841.29,2986000,3022000,3066000,3087000
Sulawesi Selatan,46717.48,9074000,9140000,9226000,9362000
Sulawesi Tenggara,38067.7,2625000,2659000,2702000,2749000
Gorontalo,11257.07,1172000,1181000,1193000,1213000
Sulawesi Barat,16787.18,1419000,1437000,1459000,1481000
Maluku,46914.03,1849000,1863000,1882000,1921000
Maluku Utara,31982.5,1283000,1299000,1319000,1337000
Papua Barat,102955.15,1134000,1157000,1183000,1187000
Papua,319036.05,4304000,4355000,4419000,4483000
