Provinsi,2020-15-24,2020-25-54,2020-55+,Rata-rata_2020,2021-15-24,2021-25-54,2021-55+,Rata-rata_2021,2022-15-24,2022-25-54,2022-55+,Rata-rata_2022,2023-15-24,2023-25-54,2023-55+,Rata-rata_2023,Jumlah_Penduduk_2020,Jumlah_Penduduk_2021,Jumlah_Penduduk_2022,Jumlah_Penduduk_2023
Aceh,1502400,1783300,1479500,1588400,1366300,1583900,1291000,1413700,1800100,1419200,1499100,1496800,1432800,1875800,1488000,1598800,5275000,5334000,5408000,5483000
Sumatera Utara,1278400,1706800,1379300,1454800,1125900,1609900,1269500,1335100,1867700,1410800,1524600,1495400,1490500,1899500,1379100,1589700,14799000,14936000,15115000,15387000
Sumatera Barat,1316200,1845800,1288100,1483300,1051000,1682500,1253300,1328900,1836400,1264800,1521400,1474600,1393700,1901800,1385000,1560100,5535000,5580000,5641000,5757000
Riau,1449400,2096700,1616200,1720700,1210000,1806600,1478000,1498200,2170500,1860100,1902000,1869500,1663100,2240200,1723600,1875600,6394000,6494000,6614000,6643000
Jambi,1744800,2016700,1507400,1756300,1561300,1990700,1529900,1693900,2208800,1743400,1796900,1766800,1541000,2312600,1729000,1860800,3548000,3585000,3631000,3679000
Sumatera Selatan,1153600,1638500,1292500,1361500,1216800,1544500,1252600,1337900,2005800,1544900,1642400,1595300,1375400,1945900,1474200,1598500,8467000,8551000,8657000,8744000
Bengkulu,1331800,1681600,1285200,1432800,1076000,1530900,1367700,1324800,1872200,1898100,1734000,1584700,1263100,1753100,1440900,1485700,2011000,2033000,2060000,2086000
Lampung,1302500,1526300,1233800,1354200,922200,1354400,1311400,1196000,1732600,1348100,1441600,1450800,1173200,1708800,1323200,1401700,9008000,9082000,9177000,9314000
Kepulauan Bangka Belitung,1426100,1998600,1358500,1594400,1554500,1998300,1472900,1675200,2493800,1818900,2037300,2145500,2139200,2486500,1945900,2190500,1456000,1473000,1495000,1512000
Kepulauan Riau,1894700,2576300,1948500,2139800,1877100,2512400,1730000,2039800,2545300,1947000,2197600,2128000,2177900,2881100,2100300,2386400,2065000,2118000,2180000,2153000
DKI Jakarta,2338200,3163900,3252000,2918000,1753300,2674600,2522400,2316700,4239000,3985500,3691800,3532400,2453500,3699000,3992400,3381600,10562000,10610000,10680000,10672000
Jawa Barat,1490700,2109600,1567100,1722500,1462200,1847600,1480300,1596700,2133800,1681300,1840600,1874800,1869600,2273400,1764600,1969200,48274000,48782000,49406000,49860000
Jawa Tengah,1236600,1606500,1184800,1342600,1066200,1397200,1027400,1163600,1558100,1114700,1304200,1314100,1307200,1642500,1162000,1370500,36516000,36743000,37032000,37541000
DI Yogyakarta,1169800,1574300,480300,1329600,894200,1352800,907500,1051500,1596200,1129700,1386000,1607000,1275400,1716200,1007200,1332900,3669000,3713000,3762000,3737000
Jawa Timur,1295400,1726400,1208600,1410100,1305700,1569700,1171900,1349100,1751900,1339000,1431300,1488300,1429600,1802300,1301200,1511000,40666000,40879000,41150000,41528000
Banten,2263500,2512800,2123200,2299800,1866000,2261800,2201100,2109600,2585400,2209000,2212200,2126300,1576900,2736200,2222000,2178300,11905000,12062000,12252000,12308000
Bali,1840600,2123000,1212100,1725200,2292900,1620600,1089900,1667800,1864000,1220500,1495100,1949100,2101600,2439100,1433700,1991500,4317000,4363000,4415000,4404000
Nusa Tenggara Barat,1014000,1563500,1220200,1265900,918600,1227500,1011400,1052500,1439100,1044600,1183900,1281400,1237000,1820100,1434200,1497100,5320000,5390000,5474000,5560000
Nusa Tenggara Timur,946100,1152200,952300,1016900,739900,989800,779500,836400,1106600,955000,963800,959500,930000,1163000,843300,978700,5326000,5388000,5466000,5569000
Kalimantan Barat,1246000,1755300,1255700,1419000,1060100,876400,1200600,1045700,1979700,1309100,1535800,1454300,1559500,1959400,1388400,1635700,5414000,5471000,5541000,5623000
Kalimantan Tengah,1541200,2149200,1534600,1741700,1441200,1977500,1595900,1671500,2489800,1959600,2081200,2011000,2166100,2707100,1916200,2263100,2670000,2702000,2741000,2774000
Kalimantan Selatan,1024700,1848100,1258600,1377100,1009400,1645200,1164800,1273100,1908700,1483100,1710300,1664000,1516100,1896700,1349400,1587400,4074000,4123000,4182000,4222000
Kalimantan Timur,1835700,2510900,1894500,2080400,1466100,2130900,1716200,1771100,2604200,2036400,2625800,2940700,2170200,2911900,2397100,2493100,3766000,3808000,3860000,3910000
Kalimantan Utara,1360300,2573500,2166700,2033500,1434900,1847000,1600300,1627400,2405900,1951800,2218000,1775900,2012900,2454700,1930400,2132600,702000,714000,728000,730000
Sulawesi Utara,1725400,2199100,1795800,1906700,1635800,1985200,1609800,1743600,2236100,1760400,1962400,2016400,1711100,2256000,1797200,1921400,2622000,2639000,2660000,2682000
Sulawesi Tengah,1406400,1733100,1308300,1482600,1061400,1526300,812700,1133400,1779100,1234800,1470600,1478500,1576400,1860300,1383400,1606700,2986000,3022000,3066000,3087000
Sulawesi Selatan,1690200,2019000,1587000,1765400,1356600,1776800,1362900,1498800,2031000,1700100,1780000,1883500,1434800,2124700,1694700,1751400,9074000,9140000,9226000,9362000
Sulawesi Tenggara,1438500,1733700,1244400,1472200,1371200,1492700,1076300,1313400,1948300,1345700,1594700,1621400,1260300,1920500,1386000,1522200,2625000,2659000,2702000,2749000
Gorontalo,1283800,1605900,1328400,1406000,1243500,1423100,1178300,1281600,1779500,1338700,1539700,1392600,1409400,1526300,1401300,1445600,1172000,1181000,1193000,1213000
Sulawesi Barat,978000,1494200,933900,1135400,1118200,1259600,974100,1117300,1356900,1061500,1082900,1028900,1114600,1567500,1252200,1311400,1419000,1437000,1459000,1481000
Maluku,1320400,1708100,1476600,1501700,1005500,1519000,1171000,1231800,1660100,1332600,1404400,1277200,1369800,1533500,1262500,1388600,1849000,1863000,1882000,1921000
Maluku Utara,1657900,1767500,1381200,1602200,1385300,1633500,1218800,1412500,1771600,1388100,1582100,1848400,1600300,1906400,1490800,1665800,1283000,1299000,1319000,1337000
Papua Barat,1753300,2763000,2524300,2346900,1722300,2433900,1711900,1956000,2115500,2182700,1940900,1634700,1847000,2569400,2078800,2165000,1134000,1157000,1183000,1187000
Papua,1597300,2395300,1989400,2011700,1692300,2271000,2420500,2127900,2331200,1872800,1990900,1958200,1695600,2190500,1971400,1952500,4304000,4355000,4419000,4483000
